"year","zone","ratio"
"2004","S01001857","25.37"
"2005","S01001857","25.37"
"2006","S01001857","25.37"
"2007","S01001857","25.37"
"2008","S01001857","25.37"
"2009","S01001857","25.37"
"2010","S01001857","25.37"
"2011","S01001857","25.37"
"2012","S01001857","25.37"
"2003","S01001857","23.9"
"2004","S01001858","14.37"
"2005","S01001858","14.37"
"2006","S01001858","14.37"
"2007","S01001858","14.41"
"2008","S01001858","14.41"
"2009","S01001858","14.41"
"2010","S01001858","14.37"
"2011","S01001858","14.37"
"2012","S01001858","14.37"
"2003","S01001858","13.68"
"2004","S01001859","27.62"
"2005","S01001859","27.68"
"2006","S01001859","27.68"
"2007","S01001859","27.62"
"2008","S01001859","27.62"
"2009","S01001859","27.55"
"2010","S01001859","29.21"
"2011","S01001859","29.21"
"2012","S01001859","29.21"
"2003","S01001859","26.15"
"2004","S01001860","4.58"
"2005","S01001860","4.58"
"2006","S01001860","4.46"
"2007","S01001860","4.46"
"2008","S01001860","4.58"
"2009","S01001860","4.72"
"2010","S01001860","4.83"
"2011","S01001860","4.89"
"2012","S01001860","4.94"
"2003","S01001860","4.58"
"2004","S01001861","34.59"
"2005","S01001861","29.36"
"2006","S01001861","24.13"
"2007","S01001861","24.13"
"2008","S01001861","25.77"
"2009","S01001861","25.96"
"2010","S01001861","27.2"
"2011","S01001861","29.36"
"2012","S01001861","29.36"
"2003","S01001861","34.59"
"2004","S01001862","16.27"
"2005","S01001862","16.27"
"2006","S01001862","16.27"
"2007","S01001862","16.27"
"2008","S01001862","16.27"
"2009","S01001862","16.27"
"2010","S01001862","16.27"
"2011","S01001862","16.27"
"2012","S01001862","16.27"
"2003","S01001862","16.27"
"2004","S01001863","20.83"
"2005","S01001863","20.83"
"2006","S01001863","20.83"
"2007","S01001863","19.92"
"2008","S01001863","19.92"
"2009","S01001863","19.92"
"2010","S01001863","19.92"
"2011","S01001863","19.92"
"2012","S01001863","19.98"
"2003","S01001863","20.83"
"2004","S01001864","25.17"
"2005","S01001864","25.17"
"2006","S01001864","25.17"
"2007","S01001864","25.5"
"2008","S01001864","25.5"
"2009","S01001864","25.5"
"2010","S01001864","25.5"
"2011","S01001864","25.5"
"2012","S01001864","25.5"
"2003","S01001864","25.17"
"2004","S01001865","45.9"
"2005","S01001865","48.81"
"2006","S01001865","48.81"
"2007","S01001865","51.25"
"2008","S01001865","51.25"
"2009","S01001865","51.25"
"2010","S01001865","51.25"
"2011","S01001865","51.25"
"2012","S01001865","51.25"
"2003","S01001865","45.9"
"2004","S01001866","8.23"
"2005","S01001866","8.26"
"2006","S01001866","8.26"
"2007","S01001866","8.26"
"2008","S01001866","8.17"
"2009","S01001866","8.17"
"2010","S01001866","8.17"
"2011","S01001866","8.17"
"2012","S01001866","8.23"
"2003","S01001866","8.2"
"2004","S01001867","18.31"
"2005","S01001867","19.87"
"2006","S01001867","19.87"
"2007","S01001867","19.8"
"2008","S01001867","19.8"
"2009","S01001867","19.8"
"2010","S01001867","19.8"
"2011","S01001867","19.8"
"2012","S01001867","19.87"
"2003","S01001867","15.4"
"2004","S01001868","2.8"
"2005","S01001868","2.78"
"2006","S01001868","2.78"
"2007","S01001868","2.6"
"2008","S01001868","2.61"
"2009","S01001868","2.63"
"2010","S01001868","2.62"
"2011","S01001868","2.63"
"2012","S01001868","2.62"
"2003","S01001868","2.8"
"2004","S01001869","13.17"
"2005","S01001869","13.17"
"2006","S01001869","13.13"
"2007","S01001869","15.13"
"2008","S01001869","15.17"
"2009","S01001869","15.17"
"2010","S01001869","15.21"
"2011","S01001869","15.21"
"2012","S01001869","15.25"
"2003","S01001869","13.17"
"2004","S01001870","39.61"
"2005","S01001870","39.61"
"2006","S01001870","39.61"
"2007","S01001870","39.61"
"2008","S01001870","40.75"
"2009","S01001870","40.75"
"2010","S01001870","40.75"
"2011","S01001870","40.75"
"2012","S01001870","40.75"
"2003","S01001870","39.52"
"2004","S01001871","15.1"
"2005","S01001871","16.85"
"2006","S01001871","17.86"
"2007","S01001871","17.67"
"2008","S01001871","17.78"
"2009","S01001871","17.78"
"2010","S01001871","18.2"
"2011","S01001871","18.38"
"2012","S01001871","18.38"
"2003","S01001871","12.27"
"2004","S01001872","16.16"
"2005","S01001872","16.98"
"2006","S01001872","16.98"
"2007","S01001872","16.98"
"2008","S01001872","16.98"
"2009","S01001872","16.98"
"2010","S01001872","16.98"
"2011","S01001872","16.98"
"2012","S01001872","16.98"
"2003","S01001872","15.34"
"2004","S01001873","14.28"
"2005","S01001873","14.33"
"2006","S01001873","14.33"
"2007","S01001873","14.33"
"2008","S01001873","14.38"
"2009","S01001873","14.38"
"2010","S01001873","14.38"
"2011","S01001873","14.38"
"2012","S01001873","14.38"
"2003","S01001873","14.28"
"2004","S01001874","26.15"
"2005","S01001874","26.15"
"2006","S01001874","26.15"
"2007","S01001874","24.92"
"2008","S01001874","28.86"
"2009","S01001874","33.43"
"2010","S01001874","37.92"
"2011","S01001874","37.92"
"2012","S01001874","37.92"
"2003","S01001874","26.15"
"2004","S01001875","9.16"
"2005","S01001875","9.16"
"2006","S01001875","9.16"
"2007","S01001875","9.11"
"2008","S01001875","9.13"
"2009","S01001875","9.27"
"2010","S01001875","9.27"
"2011","S01001875","9.27"
"2012","S01001875","9.27"
"2003","S01001875","9.16"
"2004","S01001876","29.3"
"2005","S01001876","29.3"
"2006","S01001876","29.3"
"2007","S01001876","29.36"
"2008","S01001876","29.36"
"2009","S01001876","29.48"
"2010","S01001876","29.54"
"2011","S01001876","29.48"
"2012","S01001876","29.54"
"2003","S01001876","28.3"
"2004","S01001877","39.95"
"2005","S01001877","39.95"
"2006","S01001877","39.95"
"2007","S01001877","41.53"
"2008","S01001877","41.53"
"2009","S01001877","41.53"
"2010","S01001877","41.53"
"2011","S01001877","41.53"
"2012","S01001877","41.53"
"2003","S01001877","38.36"
"2004","S01001878","2.58"
"2005","S01001878","2.58"
"2006","S01001878","2.58"
"2007","S01001878","2.32"
"2008","S01001878","2.32"
"2009","S01001878","2.32"
"2010","S01001878","2.33"
"2011","S01001878","2.33"
"2012","S01001878","2.33"
"2003","S01001878","2.58"
"2004","S01001879","125.25"
"2005","S01001879","125.25"
"2006","S01001879","125.25"
"2007","S01001879","125.25"
"2008","S01001879","125.25"
"2009","S01001879","125.25"
"2010","S01001879","125.25"
"2011","S01001879","125.25"
"2012","S01001879","125.25"
"2003","S01001879","125.25"
"2004","S01001880","20.56"
"2005","S01001880","20.56"
"2006","S01001880","20.51"
"2007","S01001880","20.51"
"2008","S01001880","20.51"
"2009","S01001880","20.51"
"2010","S01001880","20.51"
"2011","S01001880","20.51"
"2012","S01001880","20.51"
"2003","S01001880","20.56"
"2004","S01001881","4.45"
"2005","S01001881","4.45"
"2006","S01001881","4.45"
"2007","S01001881","4.43"
"2008","S01001881","4.45"
"2009","S01001881","4.45"
"2010","S01001881","4.45"
"2011","S01001881","4.46"
